"CODE","NAME","DESCRIPTION","IS_DISPLAYED","URL_ENDPOINT","OPTIMISTICLOCKVERSION"
"AGE","AGENT","AGENT","1","http://192.168.1.236:8012/agent","0"
"ANA","ANA","Authentication  Authorization Service","1","http://192.168.1.236:8000/ana","0"
"APV","APV","Approve","1","http://192.168.1.236:8005/apv","0"
"DPY","DPY","dpy","1","http://192.168.1.236:8010/dpy","0"
"ENY","ENY","ENY","1","http://192.168.1.236:8006/eny","0"
"EWP","EWP","EWallet Participant","1","http://192.168.1.236:8003/ewp","0"
"MP","MP","Money Pool Management","1","http://192.168.1.236:8004/mp","0"
"MSG","MSG","Message Server","0","http://192.168.1.236:8002/email","0"
"ORD","ORD","ORD","1","http://192.168.1.236:8014/ord","0"
"SMM","SMM","SMS Middleware Server","0","http://192.168.1.236:8007/smm","0"
"SMS","SMS","SMS Service","0","http://192.168.1.236:8008/sms","0"
"SRV","SRV","SRV","1","http://192.168.1.236:8013/srv","0"
"TRE","TRE","TRE","1","http://192.168.1.236:8011/tre","0"
